client_id,attack_label,is_anomaly,risk_score,reputation_before,duplicate_ratio,duplicate_hits,baseline_proof_length,adaptive_proof_length,adaptive_difficulty_level,adaptive_difficulty_score,estimated_attack_success_baseline,estimated_attack_success_adaptive
casa1,ownership_fraud,True,0.986847,0.6,0.898133,8,32,113,hardened,0.84145,1.0,0.424779
casa2,ownership_fraud,True,0.969883,0.6,0.849667,8,32,112,hardened,0.830424,1.0,0.428571
casa3,ownership_fraud,True,0.97161,0.6,0.8546,8,32,112,hardened,0.831547,1.0,0.428571
casa4,ownership_fraud,True,0.937287,0.6,0.756533,7,32,110,hardened,0.809236,1.0,0.436364
casa5,ownership_fraud,True,0.96818,0.6,0.8448,8,32,112,hardened,0.829317,1.0,0.428571
casa6,ownership_fraud,True,0.993987,0.6,0.918533,8,32,113,hardened,0.846091,1.0,0.424779
casa7,ownership_fraud,True,0.991723,0.6,0.912067,8,32,113,hardened,0.84462,1.0,0.424779
casa8,ownership_fraud,True,0.990021,0.6,0.907202,8,32,113,hardened,0.843514,1.0,0.424779
casa9,normal,False,0.10427,0.6,0.4622,5,32,56,normal,0.247776,1.0,0.857143
homes10,ownership_fraud,True,0.941417,0.6,0.768333,7,32,110,hardened,0.811921,1.0,0.436364
homes11,ownership_fraud,True,0.93787,0.6,0.7582,7,32,110,hardened,0.809615,1.0,0.436364
homes12,ownership_fraud,True,0.949863,0.6,0.792467,7,32,110,hardened,0.817411,1.0,0.436364
homes13,ownership_fraud,True,0.945827,0.6,0.780933,7,32,110,hardened,0.814787,1.0,0.436364
homes14,ownership_fraud,True,0.94585,0.6,0.781,7,32,110,hardened,0.814802,1.0,0.436364
homes15,ownership_fraud,True,0.9609,0.6,0.824,8,32,111,hardened,0.824585,1.0,0.432432
homes16,ownership_fraud,True,0.934113,0.6,0.747467,7,32,109,hardened,0.807174,1.0,0.440367
homes17,ownership_fraud,True,0.951193,0.6,0.796267,7,32,111,hardened,0.818276,1.0,0.432432
homes18,ownership_fraud,True,0.972357,0.6,0.856733,8,32,112,hardened,0.832032,1.0,0.428571
homes19,ownership_fraud,True,0.978843,0.6,0.875267,8,32,112,hardened,0.836248,1.0,0.428571
homes1,ownership_fraud,True,0.94613,0.6,0.7818,7,32,110,hardened,0.814985,1.0,0.436364
homes20,ownership_fraud,True,0.970723,0.6,0.852067,8,32,112,hardened,0.83097,1.0,0.428571
homes21,normal,False,0.095077,0.6,0.435933,4,32,53,normal,0.2218,1.0,0.90566
homes2,ownership_fraud,True,0.924033,0.6,0.718667,7,32,109,hardened,0.800622,1.0,0.440367
homes3,hash_probing,True,0.55,0.6,0.1686,2,32,78,elevated,0.4775,1.0,0.615385
homes3,hash_probing,True,0.55,0.55,0.060714,1,32,77,elevated,0.47,1.0,0.623377
homes3,hash_probing,True,0.55,0.5,0.014724,1,32,78,elevated,0.4825,1.0,0.615385
homes4,ownership_fraud,True,0.923147,0.6,0.716133,7,32,109,hardened,0.800045,1.0,0.440367
homes5,ownership_fraud,True,0.925503,0.6,0.722867,7,32,109,hardened,0.801577,1.0,0.440367
homes6,ownership_fraud,True,0.94291,0.6,0.7726,7,32,110,hardened,0.812891,1.0,0.436364
homes7,ownership_fraud,True,0.93241,0.6,0.7426,7,32,109,hardened,0.806067,1.0,0.440367
homes8,ownership_fraud,True,0.903407,0.6,0.659733,6,32,108,hardened,0.787214,1.0,0.444444
homes9,ownership_fraud,True,0.92618,0.6,0.7248,7,32,109,hardened,0.802017,1.0,0.440367
ikki10,ownership_fraud,True,0.88859,0.6,0.6174,6,32,107,hardened,0.777583,1.0,0.448598
ikki11,ownership_fraud,True,0.888147,0.6,0.616133,6,32,107,hardened,0.777295,1.0,0.448598
ikki12,ownership_fraud,True,0.8734,0.6,0.574,6,32,106,hardened,0.76771,1.0,0.45283
ikki13,ownership_fraud,True,0.886953,0.6,0.612723,6,32,107,hardened,0.77652,1.0,0.448598
ikki14,normal,False,0.070524,0.6,0.365782,4,32,52,normal,0.20584,1.0,0.923077
ikki15,ownership_fraud,True,0.94284,0.6,0.7724,7,32,110,hardened,0.812846,1.0,0.436364
ikki16,ownership_fraud,True,0.854757,0.6,0.520733,5,32,103,hardened,0.735592,1.0,0.466019
ikki17,ownership_fraud,True,0.952593,0.6,0.800267,7,32,111,hardened,0.819186,1.0,0.432432
ikki18,ownership_fraud,True,0.958007,0.6,0.815733,8,32,111,hardened,0.822704,1.0,0.432432
ikki19,ownership_fraud,True,0.9364,0.6,0.754,7,32,110,hardened,0.80866,1.0,0.436364
hm_1,hash_probing,True,0.55,0.6,0.131733,2,32,78,elevated,0.4775,1.0,0.615385
hm_1,hash_probing,True,0.55,0.55,0.029126,1,32,77,elevated,0.47,1.0,0.623377
mds_0,ownership_fraud,True,0.946153,0.6,0.781867,7,32,110,hardened,0.815,1.0,0.436364
mds_0,ownership_fraud,True,0.985255,0.5,0.893586,8,32,115,hardened,0.865416,1.0,0.417391
mds_1,hash_probing,True,0.55,0.6,0.0322,1,32,76,elevated,0.4575,1.0,0.631579
mds_1,hash_probing,True,0.55,0.55,0.0,1,32,77,elevated,0.47,1.0,0.623377
prn_0,ownership_fraud,True,0.93066,0.6,0.7376,7,32,109,hardened,0.804929,1.0,0.440367
prn_0,ownership_fraud,True,0.970079,0.5,0.850227,8,32,114,hardened,0.855552,1.0,0.421053
prn_1,hash_probing,True,0.55,0.6,0.007933,1,32,76,elevated,0.4575,1.0,0.631579
proj_0,dedup_dos,True,1.0,0.6,0.715067,7,32,114,hardened,0.85,1.0,0.421053
proj_0,ownership_fraud,True,0.89443,0.48,0.634085,6,32,110,hardened,0.811379,1.0,0.436364
proj_0,normal,False,0.05,0.38,0.031553,1,32,50,normal,0.1875,1.0,0.96
proj_1,normal,False,0.05,0.6,0.224533,3,32,49,normal,0.1725,1.0,0.979592
proj_1,normal,False,0.059068,0.61,0.310453,3,32,49,normal,0.175894,1.0,0.979592
proj_3,hash_probing,True,0.55,0.6,0.069311,2,32,78,elevated,0.4775,1.0,0.615385
proj_3,hash_probing,True,0.55,0.55,0.0,1,32,77,elevated,0.47,1.0,0.623377
proj_3,hash_probing,True,0.55,0.5,0.0,1,32,78,elevated,0.4825,1.0,0.615385
proj_3,hash_probing,True,0.55,0.45,0.0,1,32,80,elevated,0.495,1.0,0.6
proj_3,hash_probing,True,0.55,0.4,0.0,1,32,81,elevated,0.5075,1.0,0.592593
prxy_0,dedup_dos,True,1.0,0.6,0.754533,7,32,114,hardened,0.85,1.0,0.421053
prxy_0,dedup_dos,True,1.0,0.48,0.889075,8,32,116,hardened,0.88,1.0,0.413793
prxy_0,ownership_fraud,True,0.996478,0.36,0.925652,8,32,119,hardened,0.907711,1.0,0.403361
prxy_0,ownership_fraud,True,0.994012,0.26,0.918605,8,32,121,hardened,0.931108,1.0,0.396694
rsrch_0,ownership_fraud,True,0.93423,0.6,0.7478,7,32,109,hardened,0.80725,1.0,0.440367
rsrch_1,ownership_fraud,True,0.915453,0.6,0.69415,7,32,108,hardened,0.795044,1.0,0.444444
rsrch_1,ownership_fraud,True,0.984038,0.5,0.89011,8,32,115,hardened,0.864625,1.0,0.417391
rsrch_2,normal,False,0.06059,0.6,0.3206,4,32,51,normal,0.199383,1.0,0.941176
rsrch_2,hash_probing,True,0.55,0.61,0.047114,1,32,76,elevated,0.455,1.0,0.631579
src1_0,normal,False,0.05,0.6,0.0448,1,32,45,normal,0.1325,1.0,1.0
src1_1,normal,False,0.05,0.6,0.044867,1,32,45,normal,0.1325,1.0,1.0
src1_2,ownership_fraud,True,0.894307,0.6,0.633733,6,32,107,hardened,0.781299,1.0,0.448598
src2_0,ownership_fraud,True,0.943167,0.6,0.773333,7,32,110,hardened,0.813058,1.0,0.436364
src2_1,normal,False,0.05,0.6,0.2264,3,32,49,normal,0.1725,1.0,0.979592
src2_2,dedup_dos,True,0.92,0.6,0.082,2,32,101,hardened,0.718,1.0,0.475248
src2_2,normal,False,0.05,0.48,0.088109,2,32,50,normal,0.1825,1.0,0.96
src2_2,normal,False,0.05,0.49,0.072614,2,32,49,normal,0.18,1.0,0.979592
stg_0,ownership_fraud,True,0.851537,0.6,0.511533,5,32,102,hardened,0.733499,1.0,0.470588
stg_1,ownership_fraud,True,0.895333,0.6,0.636667,6,32,107,hardened,0.781967,1.0,0.448598
ts_0,hash_probing,True,0.55406,0.6,0.277067,3,32,80,elevated,0.500139,1.0,0.6
usr_0,dedup_dos,True,1.0,0.6,0.705333,7,32,114,hardened,0.85,1.0,0.421053
usr_0,ownership_fraud,True,0.93168,0.48,0.740514,7,32,112,hardened,0.835592,1.0,0.428571
usr_0,ownership_fraud,True,0.985182,0.38,0.893378,8,32,118,hardened,0.895369,1.0,0.40678
usr_1,normal,False,0.05,0.6,0.235067,3,32,49,normal,0.1725,1.0,0.979592
usr_1,hash_probing,True,0.55,0.61,0.019966,1,32,76,elevated,0.455,1.0,0.631579
usr_2,normal,False,0.090433,0.6,0.422667,4,32,53,normal,0.218782,1.0,0.90566
usr_2,normal,False,0.05,0.61,0.161194,2,32,46,normal,0.15,1.0,1.0
wdev_0,ownership_fraud,True,0.8734,0.6,0.574,6,32,106,hardened,0.76771,1.0,0.45283
wdev_1,ownership_fraud,True,0.970648,0.6,0.851852,8,32,112,hardened,0.830921,1.0,0.428571
wdev_2,ownership_fraud,True,0.925877,0.6,0.723933,7,32,109,hardened,0.80182,1.0,0.440367
wdev_3,ownership_fraud,True,0.96125,0.6,0.825,8,32,111,hardened,0.824813,1.0,0.432432
web_0,ownership_fraud,True,0.965963,0.6,0.838467,8,32,111,hardened,0.827876,1.0,0.432432
web_0,ownership_fraud,True,0.974379,0.5,0.862511,8,32,114,hardened,0.858346,1.0,0.421053
web_1,dedup_dos,True,0.988083,0.6,0.501667,5,32,111,hardened,0.822254,1.0,0.432432
web_1,normal,False,0.104434,0.48,0.46267,5,32,59,normal,0.277882,1.0,0.813559
web_1,ownership_fraud,True,0.852943,0.49,0.51555,5,32,105,hardened,0.761913,1.0,0.457143
web_2,hash_probing,True,0.55,0.6,0.0138,1,32,76,elevated,0.4575,1.0,0.631579
web_2,hash_probing,True,0.55,0.55,0.0,1,32,77,elevated,0.47,1.0,0.623377
web_3,dedup_dos,True,0.949023,0.6,0.390067,4,32,107,hardened,0.776865,1.0,0.448598
web_3,dedup_dos,True,0.949078,0.48,0.390223,4,32,109,hardened,0.806901,1.0,0.440367
web_3,normal,False,0.058324,0.36,0.305495,3,32,55,normal,0.237911,1.0,0.872727
web_3,ownership_fraud,True,0.886604,0.37,0.611726,6,32,112,hardened,0.833793,1.0,0.428571
